post_id,title,category,address,tel,lat,lng,score,url
11146,bar cacoi（バー カコイ）,飲食店,,,35.6700745,139.7695509,,https://www.beertiful.jp/listing/bar-cacoi/
11143,サンサ（sansa）,飲食店,,,35.6692109,139.7385225,,https://www.beertiful.jp/listing/sansa/
11133,新橋 DRY-DOCK（ドライドック）,飲食店,,,35.6646091,139.7584544,,https://www.beertiful.jp/listing/shinbashi-dry-dock/
11132,THE GRIFFON 渋谷店（ザ グリフォン）,飲食店,,,35.6584808,139.7038418,,https://www.beertiful.jp/listing/the-griffon-shibuya/
11128,Gar Eden（ガル エデン）,飲食店,,,35.6696372,139.7130277,,https://www.beertiful.jp/listing/gar-eden/
11127,Beer Pub Ishii（ビアパブイシイ）,飲食店,,,35.7292659,139.7639601,,https://www.beertiful.jp/listing/beer-pub-ishii/
11113,devilcraft 自由が丘（デビルクラフト）,飲食店,,,35.6070208,139.6674313,,https://www.beertiful.jp/listing/devilcraft-jiyugaoka/
11112,devilcraft gotanda（デビルクラフト五反田）,飲食店,,,35.6263059,139.7225143,,https://www.beertiful.jp/listing/devilcraft-gotanda/
11111,DevilCraft Hamamatsucho（デビルクラフト 浜松町）,飲食店,,,35.6531871,139.7560838,,https://www.beertiful.jp/listing/devilcraft-hamamatsucho/
11109,CRAFT BEER SERVER LAND（クラフトビア サーバーランド）,飲食店,,,35.7008663,139.7412726,,https://www.beertiful.jp/listing/craft-beer-server-land/
11091,【閉店】YONA YONA BEER WORKS 赤坂店／よなよな ビアワークス,飲食店,,,35.6772764,139.7374535,,https://www.beertiful.jp/listing/yona-yona-beer-works-akasaka/
11090,クラフト麦酒ビストロ クラフトマン,飲食店,,,35.6265051,139.7213203,,https://www.beertiful.jp/listing/craftsman/
11085,クラフトビアマーケット吉祥寺ペニーレーン店（CRAFT BEER MARKET）,飲食店,,,35.70478529,139.5800461,,https://www.beertiful.jp/listing/craft-beer-market-kichijyoji-pennylane/
11083,立飲みビールボーイ渋谷パルコ店（Tachinomi BEERBOY）,飲食店,,,35.6620484,139.6987767,,https://www.beertiful.jp/listing/tachinomi-beerboy-shibuya-parco/
11082,"クラフトビールとお料理 オアシス（oasis）12:00 PM - 2:00 PM ,",飲食店,,,35.642756,139.6981935,,https://www.beertiful.jp/listing/oasis/
11086,クラフト ビア マーケット TOKYO TORCH店（トーキョートーチ）CRAFT BEER MARKET,飲食店,,,35.685602,139.7693487,,https://www.beertiful.jp/listing/craft-beer-market-tokyo-torch/
11084,クラフトビアマーケット田町店（CRAFT BEER MARKET）,飲食店,,,35.6485719,139.74581,,https://www.beertiful.jp/listing/craft-beer-market-tamachi/
11081,クラフトビアマーケット 大手町店（CRAFT BEER MARKET）,飲食店,,,35.6887808,139.764566,,https://www.beertiful.jp/listing/craft-beer-market-otemachi/
11080,クラフトビアマーケット アトレ吉祥寺店（CRAFT BEER MARKET）,飲食店,,,35.7030679,139.5792628,,https://www.beertiful.jp/listing/craft-beer-market-kichijyoji/
11079,クラフトビアマーケット 虎ノ門店（CRAFT BEER MARKET）,飲食店,,,35.6686335,139.7517364,,https://www.beertiful.jp/listing/craft-beer-market-toranomon/
11077,Brasserie Beer Blvd. （ブラッセリー ビア ブルヴァード）,飲食店,,,35.663391,139.7554684,,https://www.beertiful.jp/listing/brasserie-beer-blvd/
11075,NIGHT OWL（ナイト オウル）,飲食店酒屋,,,35.6477354,139.7103047,,https://www.beertiful.jp/listing/night-owl/
11074,ビアスタンド平野屋（Beer Stand Hiranoya）,飲食店,,,35.6557121,139.6923257,,https://www.beertiful.jp/listing/beer-stand-hiranoya/
11073,SWANLAKE PUB Edo代々木上原店（スワンレイク パブ エド）,飲食店,,,35.6686688,139.6781751,,https://www.beertiful.jp/listing/swanlake-pub-edo/
11072,ワイレレ（Wailele）,飲食店,,,35.6575155,139.6991565,,https://www.beertiful.jp/listing/wailele/
11071,PUMP Craft Beer Bar（パンプ クラフト ビア バー）,飲食店,,,35.7239573,139.7117457,,https://www.beertiful.jp/listing/pump-craft-beer-bar/
11070,GOOD MEALS SHOP（グッド ミールズ ショップ）,飲食店,,,35.6112471,139.6304416,,https://www.beertiful.jp/listing/good-meals-shop/
11069,アイビアー・ルサンパーム 二子玉川ライズ（iBEER LE SUN PALM）,飲食店,,,35.61175,139.6282344,,https://www.beertiful.jp/listing/ibeer-le-sun-palm/
11068,European Beer Pub Pigalle（ヨーロピアン ビアパブ ピガール）,飲食店,,,35.6440625,139.6713285,,https://www.beertiful.jp/listing/european-beer-pub-pigalle/
11067,北沢小西 （きたざわこにし）,酒屋,,,35.65851281,139.6669731,,https://www.beertiful.jp/listing/kitazawakonishi/
11066,Gremlin（グレムリン）,飲食店,,,35.6767588,139.6760733,,https://www.beertiful.jp/listing/gremlin/
11051,中華点心飲茶 クラフトビールタップ マロニエゲート 銀座1店,飲食店,,,35.674322,139.7654024,,https://www.beertiful.jp/listing/craft-beer-tap-ginza/
11050,Craft Beer Tap（クラフトビールタップ）秋葉原駅前店,飲食店,,,35.6989753,139.7746922,,https://www.beertiful.jp/listing/craft-beer-tap-akihabara/
11049,Craft Beer Tap（クラフトビールタップ）渋谷店,飲食店,,,35.6577247,139.7024057,,https://www.beertiful.jp/listing/craft-beer-tap-shibuya/
11048,Beer Bar Ailes Yushima（ビアバー エール ユシマ）,飲食店,,,35.7066235,139.7697086,,https://www.beertiful.jp/listing/beer-bar-ailes-yushima/
11047,常陸野ブルーイング・ラボ 神田万世橋 HITACHINO BREWING LAB.,ブルーパブ,,,35.6974202,139.7697523,,https://www.beertiful.jp/listing/hitachino-brewing-lab-kanda-manseibashi/
11046,Beer++（ビアプラスプラス） / 十条すいけんブルワリー,ブルーパブ,,,35.7592008,139.722167,,https://www.beertiful.jp/listing/suiken-brewery/
11045,PDX TAPROOM（ピーディーエックス タップルーム）,飲食店,,,35.6641595,139.7035411,,https://www.beertiful.jp/listing/pdx-taproom/
11044,終日one（シュウジツワン）,飲食店,,,35.6680988,139.6786634,,https://www.beertiful.jp/listing/shujitsu-one/
11043,Beer Engine（ビア エンジン）,飲食店,,,35.70570989,139.6519008,,https://www.beertiful.jp/listing/beer-engine/
11042,タヰヨウ酒場（タイヨウ サカバ）,飲食店,,,35.6154961,139.7001618,,https://www.beertiful.jp/listing/taiyo-sakaba/
11029,BEER BRAIN（ビア ブレイン）表参道,飲食店,,,35.6688384,139.7149229,,https://www.beertiful.jp/listing/beer-brain-omotesando/
11023,NIHONBASHI BREWERY（日本橋ブルワリー）,ブルーパブ,,,35.6897847,139.7825852,,https://www.beertiful.jp/listing/nihonbashi-brewery/
11022,HIGHBURY ? THE HOME OF BEER （ハイバリー ザ・ホーム・オブ・ビア）,飲食店,,,35.6892997,139.7113021,,https://www.beertiful.jp/listing/highbury/
11021,スモークビアファクトリー 要町店（Smoke Beer Factory）,飲食店,,,35.7340558,139.6976883,,https://www.beertiful.jp/listing/smoke-beer-factory-kanamecho/
11006,Smoke Beer Factory (スモーク ビア ファクトリー),飲食店,,,35.7309444,139.6841806,,https://www.beertiful.jp/listing/smoke-beer-factory/
11005,おうじバル,飲食店,,,35.7575961,139.7365682,,https://www.beertiful.jp/listing/ojibar/
11003,TAMEALS 品川店 (タミルズ),飲食店,,,35.6285804,139.7394122,,https://www.beertiful.jp/listing/tameals-shinagawa/
11002,常陸野ブルーイング Tokyo Yaesu,飲食店,,,35.68132122,139.7672838,,https://www.beertiful.jp/listing/hitachino-brewing-tokyo-yaesu/
11001,WIZ craft beer and food (ウィズ クラフトビア＆フード),飲食店,,,35.69751883,139.7674172,,https://www.beertiful.jp/listing/wiz-craft-beer-and-food/
11000,日ノモトブルーイング＆ビアスタンド HINOMOTO BEER（ヒノモトビア）,ブルーパブ,,,35.7335709,139.7503177,,https://www.beertiful.jp/listing/hinomoto-beer/
10998,Two Fingers（トゥフィンガーズ）,飲食店,,,35.7364018,139.7073823,,https://www.beertiful.jp/listing/two-fingers/
11134,BAR EXIT（バー・イクジット）,酒屋,,,35.648801,139.6917955,,https://www.beertiful.jp/listing/bar-exit/
10997,YONA YONA BEER WORKS (よなよなビアワークス) 歌舞伎町店,飲食店,,,35.6953168,139.701049,,https://www.beertiful.jp/listing/yona-yona-beer-kabukicho/
10995,YONA YONA BEER WORKS（よばよなビアワークス）新宿東口店,飲食店,,,35.6910114,139.7026398,,https://www.beertiful.jp/listing/yona-yona-beer-works-shinjyuku-higashiguchi/
10994,クラフトビールシザーズ池尻大橋（CRAFT BEER SCISSORS）,飲食店酒屋,,,35.6496726,139.6837694,,https://www.beertiful.jp/listing/craft-beer-scissors/
10651,すすきのブリューイング（SUSUKINO BREWING）,ブルーパブ,,,43.0520517,141.3549182,,https://www.beertiful.jp/listing/susukino-brewing/
10631,ヘリオス酒造（岩手県）,醸造所,,,39.5432178,140.8263982,,https://www.beertiful.jp/listing/helios-syuzo-iwate/
10594,幕張ブルワリー（MAKUHARI BREWERY）,ブルーパブ,,,35.6454769,140.0523167,,https://www.beertiful.jp/listing/makuhari-brewery/
10655,北海道ワイン（おたるワイナリービール Otaru Winery Beer）,醸造所,,,43.1587783,141.0173546,,https://www.beertiful.jp/listing/otaru-winery-beer/
10654,北海道麦酒醸造（Hokkaido Brewing）,醸造所,,,43.2202827,141.0176765,,https://www.beertiful.jp/listing/hokkaido-brewing/
10653,小樽ビール銭函醸造所（Otaru Beer）,醸造所,,,43.1396905,141.1768454,,https://www.beertiful.jp/listing/otaru-beer/
10652,澄川麦酒醸造所（SUMIKAWA BREWING）,ブルーパブ醸造所,,,43.0027198,141.3848946,,https://www.beertiful.jp/listing/sumikawa-brewing/
10650,薄野地麦酒,醸造所,,,43.0530648,141.3535587,,https://www.beertiful.jp/listing/susukino-jibeer/
10649,SOCブルーイング（NORTHISLAND BEER ノースアイランドビール）,醸造所,,,43.1080776,141.5379365,,https://www.beertiful.jp/listing/northisland-beer/
10647,唯我独尊（ゆいがどくそん）,ブルーパブ,,,43.3449805,142.3894111,,https://www.beertiful.jp/listing/yuigadokuson/
10646,富良野地麦酒館（ふらのじびーるかん）,醸造所,,,43.3450763,142.3626818,,https://www.beertiful.jp/listing/furano-ji-beer/
10645,奥入瀬ビール ブルワリー＆レストラン（OIRASE Brewery）,ブルーパブ,,,40.5851831,141.1174174,,https://www.beertiful.jp/listing/oirase-brewery/
10643,八戸麦酒（はちのへビール）,醸造所,,,40.399428,141.4385814,,https://www.beertiful.jp/listing/hachinohebeer/
10641,【閉店】浅草酒蔵,酒屋,,,35.71011598,139.7954148,,https://www.beertiful.jp/listing/asakusa-shuzo/
10634,梅香山 崇徳寺 バイコードリンク,醸造所,,,41.4915924,140.9091864,,https://www.beertiful.jp/listing/baikou-drink/
10633,ビアレストラン プラッツ（RESTAURANT Platz）,ブルーパブ,,,39.7193103,140.1180552,,https://www.beertiful.jp/listing/restaurant-platz/
10632,上閉伊酒造（かみへいしゅぞう）,醸造所,,,39.32043705,141.5925667,,https://www.beertiful.jp/listing/kamihei-shuzo/
10630,ビアベースベアレン 盛岡駅前（BEER BASE BAEREN）,ブルーパブ,,,39.701792,141.1377563,,https://www.beertiful.jp/listing/beer-base-baeren/
10629,菜園マイクロブルワリー（SAIEN MICRO BREWERY）,ブルーパブ,,,39.7017044,141.1480791,,https://www.beertiful.jp/listing/saien-micro-brewery/
10628,ビアバーベアレン 中ノ橋（BEER BAR BAEREN）,ブルーパブ,,,39.6999126,141.154493,,https://www.beertiful.jp/listing/beer-bar-baeren-nakanohashi/
10627,ビアパブベアレン 材木町（BEER PUB BAEREN）,ブルーパブ,,,39.7070161,141.136897,,https://www.beertiful.jp/listing/beer-pub-baeren-zaimokucho/
10626,ベアレン醸造所（BAEREN BEER）,醸造所,,,39.7145124,141.1543508,,https://www.beertiful.jp/listing/baeren-beer/
10624,米沢ジャックスブルワリー（YONEZAWA JACKS BREWERY）,醸造所,,,37.8612633,140.1046214,,https://www.beertiful.jp/listing/yonezawa-jacks-brewery/
10623,ななくさ農園　ななくさナノブルワリー（NANAKUSA NANO BREWERY）,醸造所,,,37.586738,140.5721477,,https://www.beertiful.jp/listing/nanakusa-nano-brewery/
10622,ISHII BREWING（イシイブルーイング）,醸造所,,,36.3079285,139.4680124,,https://www.beertiful.jp/listing/ishii-brewing/
10621,808ブルワリー（ヤオヤブルワリー）808 Brewery,醸造所,,,36.2589855,139.8040961,,https://www.beertiful.jp/listing/808-brewery/
10620,うしとらブルワリー（USHITORA BREWERY）,醸造所,,,36.4021071,139.8542867,,https://www.beertiful.jp/listing/ushitora-brewery/
10619,Nikko Brewing（ニッコーブルーイング）／併設販売店,ブルーパブ,,,36.6867411,139.7478632,,https://www.beertiful.jp/listing/nikko-brewing/
10618,マァマー ビールスタンド（Murmur biiru stand）,ブルーパブ,,,36.7525792,139.6060271,,https://www.beertiful.jp/listing/murmur-biiru-stand/
10617,四万温泉エールファクトリー（Shima Onsen Yell Factory）,醸造所,,,36.680532,138.7819509,,https://www.beertiful.jp/listing/shima-onsen-yell-factory/
10616,OCTONE Brewing（オクトワン ブルーイング）/タップルーム,醸造所,,,36.7698355,138.9700697,,https://www.beertiful.jp/listing/octone-brewing/
10615,片品ブリューイング（Katashina Brewing）,醸造所,,,36.7575465,139.2037377,,https://www.beertiful.jp/listing/katashina-brewing/
10614,PARADISE BEER FACTORY（パラダイスビアファクトリー）,ブルーパブ,,,35.9678392,140.6288206,,https://www.beertiful.jp/listing/paradise-beer-factory-2/
10613,麦と葡萄 牛久醸造場,醸造所,,,35.9692799,140.1394783,,https://www.beertiful.jp/listing/mugitobudou/
10611,牛久シャトーブルワリー/牛久シャトー（Ushiku Chateau Beer）,ブルーパブ,,,35.9784279,140.1471919,,https://www.beertiful.jp/listing/ushiku-chateau-beer/
10610,さかい河岸ブルワリー（SAKAI KASHI BREWERY）,醸造所,,,36.102851,139.7955241,,https://www.beertiful.jp/listing/sakai-kashi-brewery/
10609,Beach culture brewing（ビーチカルチャーブルーイング）,ブルーパブ,,,36.308449,140.5680953,,https://www.beertiful.jp/listing/beach-culture-brewing/
10608,木内酒造本社 利き酒処（常陸野ネストビール）,ブルーパブ,,,36.4686177,140.4680931,,https://www.beertiful.jp/listing/kiuchi-brewery-kikizakedokoro/
10607,木内酒造額田醸造所（常陸野ネストビール）,醸造所,,,36.47944159,140.513155,,https://www.beertiful.jp/listing/kiuchi-brewery/
10606,秩父麦酒醸造所（Chichibu Beer）,醸造所,,,36.042694,139.0362837,,https://www.beertiful.jp/listing/chichibu-beer/
10605,麻原酒造／越生ブリュワリー,醸造所,,,35.948127,139.2976902,,https://www.beertiful.jp/listing/asahara-brewery/
10604,麦雑穀工房（ざっこくこうぼう）ZAKKOKU BEER,醸造所,,,36.0558082,139.2593248,,https://www.beertiful.jp/listing/zakkoku-beer/
10603,HopGear Brewing（ホップギアブルーイング）,醸造所,,,36.2445207,139.1751687,,https://www.beertiful.jp/listing/hopgear-brewing/
10602,所沢ブルワリー（Tokorozawa Beer）,ブルーパブ,,,35.8056086,139.481523,,https://www.beertiful.jp/listing/tokorozawa-beer/
10601,鶴瀬クラフトダイニング,ブルーパブ,,,35.8453062,139.5381681,,https://www.beertiful.jp/listing/tsuruse-craft-dining/
10600,加須麦酒（KAZO BAKUSHU）,醸造所,,,36.1049961,139.5711894,,https://www.beertiful.jp/listing/kazo-bakushu/
